date,sku_id,category,price,promotion,holiday,demand
2024-01-01,SKU_1,Sports,63.88,0,1,91
2024-01-02,SKU_1,Sports,87.96,0,0,43
2024-01-03,SKU_1,Sports,73.73,0,0,47
2024-01-04,SKU_1,Sports,26.51,0,0,66
2024-01-05,SKU_1,Sports,57.23,0,0,45
2024-01-06,SKU_1,Sports,22.55,0,0,72
2024-01-07,SKU_1,Sports,42.97,0,0,76
2024-01-08,SKU_1,Sports,56.28,0,0,53
2024-01-09,SKU_1,Sports,14.18,0,0,61
2024-01-10,SKU_1,Sports,95.4,0,0,44
2024-01-11,SKU_1,Sports,82.76,1,0,68
2024-01-12,SKU_1,Sports,49.61,0,0,55
2024-01-13,SKU_1,Sports,54.57,0,0,69
2024-01-14,SKU_1,Sports,56.81,0,0,58
2024-01-15,SKU_1,Sports,26.64,0,0,67
2024-01-16,SKU_1,Sports,27.64,0,0,64
2024-01-17,SKU_1,Sports,39.28,0,0,52
2024-01-18,SKU_1,Sports,42.11,0,0,55
2024-01-19,SKU_1,Sports,58.84,0,0,55
2024-01-20,SKU_1,Sports,98.82,0,0,50
2024-01-21,SKU_1,Sports,27.88,0,0,78
2024-01-22,SKU_1,Sports,16.66,0,0,71
2024-01-23,SKU_1,Sports,20.43,0,0,67
2024-01-24,SKU_1,Sports,15.72,0,0,72
2024-01-25,SKU_1,Sports,39.27,0,0,64
2024-01-26,SKU_1,Sports,52.5,0,0,63
2024-01-27,SKU_1,Sports,74.19,0,0,61
2024-01-28,SKU_1,Sports,54.44,0,0,73
2024-01-29,SKU_1,Sports,48.48,0,0,58
2024-01-30,SKU_1,Sports,55.77,0,0,54
2024-01-31,SKU_1,Sports,32.44,1,0,94
2024-02-01,SKU_1,Sports,16.93,0,0,64
2024-02-02,SKU_1,Sports,24.51,0,0,69
2024-02-03,SKU_1,Sports,26.79,0,0,75
2024-02-04,SKU_1,Sports,58.54,0,0,61
2024-02-05,SKU_1,Sports,48.44,0,0,56
2024-02-06,SKU_1,Sports,87.47,0,0,46
2024-02-07,SKU_1,Sports,29.99,0,0,62
2024-02-08,SKU_1,Sports,40.39,0,0,59
2024-02-09,SKU_1,Sports,73.27,0,0,52
2024-02-10,SKU_1,Sports,97.46,0,0,43
2024-02-11,SKU_1,Sports,13.32,0,0,78
2024-02-12,SKU_1,Sports,55.24,0,0,55
2024-02-13,SKU_1,Sports,54.05,0,0,57
2024-02-14,SKU_1,Sports,31.78,1,0,93
2024-02-15,SKU_1,Sports,75.54,0,0,53
2024-02-16,SKU_1,Sports,66.91,0,0,55
2024-02-17,SKU_1,Sports,85.18,0,0,68
2024-02-18,SKU_1,Sports,26.79,0,0,75
2024-02-19,SKU_1,Sports,11.49,0,0,66
2024-02-20,SKU_1,Sports,30.38,0,0,58
2024-02-21,SKU_1,Sports,44.81,0,0,61
2024-02-22,SKU_1,Sports,22.38,1,0,87
